date,new_cases,new_deaths,total_cases,total_deaths,new_cases_per_million, new_deaths_per_million,total_cases_per_million,total_deaths_per_million
12/31/2019,0,0,0,0,0,0,0,0
1/1/2020,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0
1/4/2020,0,0,0,0,0,0,0,0
1/5/2020,0,0,0,0,0,0,0,0
1/6/2020,0,0,0,0,0,0,0,0
1/7/2020,0,0,0,0,0,0,0,0
1/8/2020,0,0,0,0,0,0,0,0
1/9/2020,0,0,0,0,0,0,0,0
1/10/2020,0,0,0,0,0,0,0,0
1/11/2020,0,0,0,0,0,0,0,0
1/12/2020,0,0,0,0,0,0,0,0
1/13/2020,0,0,0,0,0,0,0,0
1/14/2020,0,0,0,0,0,0,0,0
1/15/2020,0,0,0,0,0,0,0,0
1/16/2020,0,0,0,0,0,0,0,0
1/17/2020,0,0,0,0,0,0,0,0
1/18/2020,0,0,0,0,0,0,0,0
1/19/2020,0,0,0,0,0,0,0,0
1/20/2020,0,0,0,0,0,0,0,0
1/21/2020,0,0,0,0,0,0,0,0
1/22/2020,0,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0
2/28/2020,0,0,3,0,0,0,0.002,0
2/29/2020,0,0,3,0,0,0,0.002,0
3/1/2020,0,0,3,0,0,0,0.002,0
3/2/2020,0,0,3,0,0,0,0.002,0
3/3/2020,2,0,5,0,0.001,0,0.004,0
3/4/2020,1,0,6,0,0.001,0,0.004,0
3/5/2020,22,0,28,0,0.016,0,0.02,0
3/6/2020,1,0,29,0,0.001,0,0.021,0
3/7/2020,2,0,31,0,0.001,0,0.022,0
3/8/2020,3,0,34,0,0.002,0,0.025,0
3/10/2020,10,0,44,0,0.007,0,0.032,0
3/11/2020,6,0,50,0,0.004,0,0.036,0
3/12/2020,23,0,73,0,0.017,0,0.053,0
3/13/2020,2,1,75,1,0.001,0.001,0.054,0.001
3/14/2020,8,1,83,2,0.006,0.001,0.06,0.001
3/15/2020,7,0,90,2,0.005,0,0.065,0.001
3/16/2020,3,0,93,2,0.002,0,0.067,0.001
3/17/2020,32,1,125,3,0.023,0.001,0.091,0.002
3/18/2020,12,0,137,3,0.009,0,0.099,0.002
3/19/2020,28,0,165,3,0.02,0,0.12,0.002
3/20/2020,26,1,191,4,0.019,0.001,0.138,0.003
3/21/2020,40,0,231,4,0.029,0,0.167,0.003
3/22/2020,89,0,320,4,0.064,0,0.232,0.003
3/23/2020,119,3,439,7,0.086,0.002,0.318,0.005
3/24/2020,53,2,492,9,0.038,0.001,0.357,0.007
3/25/2020,70,0,562,9,0.051,0,0.407,0.007
3/26/2020,87,4,649,13,0.063,0.003,0.47,0.009
3/27/2020,75,4,724,17,0.054,0.003,0.525,0.012
3/28/2020,149,2,873,19,0.108,0.001,0.633,0.014
3/29/2020,106,6,979,25,0.077,0.004,0.709,0.018
3/30/2020,92,4,1071,29,0.067,0.003,0.776,0.021
3/31/2020,180,3,1251,32,0.13,0.002,0.907,0.023
4/1/2020,146,3,1397,35,0.106,0.002,1.012,0.025
4/2/2020,568,15,1965,50,0.412,0.011,1.424,0.036
4/3/2020,336,6,2301,56,0.243,0.004,1.667,0.041
4/4/2020,601,12,2902,68,0.436,0.009,2.103,0.049
4/5/2020,472,9,3374,77,0.342,0.007,2.445,0.056
4/6/2020,693,32,4067,109,0.502,0.023,2.947,0.079
4/7/2020,354,5,4421,114,0.257,0.004,3.204,0.083
4/8/2020,773,35,5194,149,0.56,0.025,3.764,0.108
4/9/2020,540,17,5734,166,0.391,0.012,4.155,0.12
4/10/2020,678,33,6412,199,0.491,0.024,4.646,0.144
4/11/2020,1035,40,7447,239,0.75,0.029,5.396,0.173
4/12/2020,909,34,8356,273,0.659,0.025,6.055,0.198
4/13/2020,796,35,9152,308,0.577,0.025,6.632,0.223
4/14/2020,1211,31,10363,339,0.878,0.022,7.509,0.246
4/15/2020,1075,38,11438,377,0.779,0.028,8.288,0.273
4/16/2020,942,37,12380,414,0.683,0.027,8.971,0.3
4/17/2020,1007,23,13387,437,0.73,0.017,9.701,0.317
4/18/2020,991,43,14378,480,0.718,0.031,10.419,0.348
4/19/2020,1334,27,15712,507,0.967,0.02,11.385,0.367
4/20/2020,1553,36,17265,543,1.125,0.026,12.511,0.393
4/21/2020,1335,47,18600,590,0.967,0.034,13.478,0.428
4/22/2020,1384,50,19984,640,1.003,0.036,14.481,0.464
4/23/2020,1409,41,21393,681,1.021,0.03,15.502,0.493
4/24/2020,1684,37,23077,718,1.22,0.027,16.722,0.52
4/25/2020,1429,57,24506,775,1.036,0.041,17.758,0.562
4/26/2020,1990,49,26496,824,1.442,0.036,19.2,0.597
4/27/2020,1396,48,27892,872,1.012,0.035,20.212,0.632
4/28/2020,1543,62,29435,934,1.118,0.045,21.33,0.677
4/29/2020,1897,73,31332,1007,1.375,0.053,22.704,0.73
4/30/2020,1718,67,33050,1074,1.245,0.049,23.949,0.778
5/1/2020,1993,73,35043,1147,1.444,0.053,25.393,0.831
5/2/2020,2293,71,37336,1218,1.662,0.051,27.055,0.883
5/3/2020,2644,83,39980,1301,1.916,0.06,28.971,0.943
5/4/2020,2553,72,42533,1373,1.85,0.052,30.821,0.995
5/5/2020,3900,195,46433,1568,2.826,0.141,33.647,1.136
5/6/2020,2958,126,49391,1694,2.143,0.091,35.79,1.228
5/7/2020,3561,89,52952,1783,2.58,0.064,38.371,1.292
5/8/2020,3390,103,56342,1886,2.457,0.075,40.827,1.367
5/9/2020,3320,95,59662,1981,2.406,0.069,43.233,1.436
5/10/2020,3277,128,62939,2109,2.375,0.093,45.608,1.528
5/11/2020,4213,97,67152,2206,3.053,0.07,48.661,1.599
5/12/2020,3604,87,70756,2293,2.612,0.063,51.272,1.662
5/13/2020,3525,122,74281,2415,2.554,0.088,53.827,1.75
5/14/2020,3722,134,78003,2549,2.697,0.097,56.524,1.847
5/15/2020,3967,100,81970,2649,2.875,0.072,59.398,1.92
5/16/2020,3970,103,85940,2752,2.877,0.075,62.275,1.994
5/17/2020,4987,120,90927,2872,3.614,0.087,65.889,2.081
5/18/2020,5242,157,96169,3029,3.799,0.114,69.687,2.195
5/19/2020,4970,134,101139,3163,3.601,0.097,73.289,2.292
5/20/2020,5611,140,106750,3303,4.066,0.101,77.355,2.393
5/21/2020,5609,132,112359,3435,4.064,0.096,81.419,2.489
5/22/2020,6088,148,118447,3583,4.412,0.107,85.831,2.596
5/23/2020,6654,137,125101,3720,4.822,0.099,90.653,2.696
5/24/2020,6767,147,131868,3867,4.904,0.107,95.556,2.802
5/25/2020,6977,154,138845,4021,5.056,0.112,100.612,2.914
5/26/2020,6535,146,145380,4167,4.735,0.106,105.347,3.02
5/27/2020,6387,170,151767,4337,4.628,0.123,109.976,3.143
5/28/2020,6566,194,158333,4531,4.758,0.141,114.734,3.283
5/29/2020,7466,175,165799,4706,5.41,0.127,120.144,3.41
5/30/2020,7964,265,173763,4971,5.771,0.192,125.915,3.602
5/31/2020,8380,193,182143,5164,6.072,0.14,131.987,3.742
6/1/2020,8392,230,190535,5394,6.081,0.167,138.068,3.909
6/2/2020,8171,204,198706,5598,5.921,0.148,143.989,4.057
6/3/2020,8909,217,207615,5815,6.456,0.157,150.445,4.214
6/4/2020,9304,260,216919,6075,6.742,0.188,157.187,4.402
6/5/2020,9851,273,226770,6348,7.138,0.198,164.326,4.6
6/6/2020,9887,294,236657,6642,7.164,0.213,171.49,4.813
6/7/2020,9971,287,246628,6929,7.225,0.208,178.715,5.021
6/8/2020,9983,206,256611,7135,7.234,0.149,185.949,5.17
6/9/2020,9987,331,266598,7466,7.237,0.24,193.186,5.41
6/10/2020,9985,279,276583,7745,7.235,0.202,200.422,5.612
6/11/2020,9996,357,286579,8102,7.243,0.259,207.665,5.871
6/12/2020,10956,396,297535,8498,7.939,0.287,215.604,6.158
6/13/2020,11458,386,308993,8884,8.303,0.28,223.907,6.438
6/14/2020,11929,311,320922,9195,8.644,0.225,232.551,6.663
6/15/2020,11502,325,332424,9520,8.335,0.236,240.886,6.899
6/16/2020,10667,380,343091,9900,7.73,0.275,248.616,7.174
6/17/2020,10974,2003,354065,11903,7.952,1.451,256.568,8.625
6/18/2020,12881,334,366946,12237,9.334,0.242,265.902,8.867
6/19/2020,13586,336,380532,12573,9.845,0.243,275.747,9.111
6/20/2020,14516,375,395048,12948,10.519,0.272,286.266,9.383
6/21/2020,15413,306,410461,13254,11.169,0.222,297.435,9.604
6/22/2020,14821,445,425282,13699,10.74,0.322,308.174,9.927
6/23/2020,14933,312,440215,14011,10.821,0.226,318.995,10.153
6/24/2020,15968,465,456183,14476,11.571,0.337,330.566,10.49
6/25/2020,16922,418,473105,14894,12.262,0.303,342.829,10.793
6/26/2020,17296,407,490401,15301,12.533,0.295,355.362,11.088
6/27/2020,18552,384,508953,15685,13.443,0.278,368.805,11.366
6/28/2020,19906,410,528859,16095,14.425,0.297,383.23,11.663
6/29/2020,19459,380,548318,16475,14.101,0.275,397.331,11.938
6/30/2020,18522,418,566840,16893,13.422,0.303,410.752,12.241
7/1/2020,18653,507,585493,17400,13.517,0.367,424.269,12.609
7/2/2020,19148,434,604641,17834,13.875,0.314,438.144,12.923
7/3/2020,20903,379,625544,18213,15.147,0.275,453.291,13.198
7/4/2020,22771,442,648315,18655,16.501,0.32,469.792,13.518
7/5/2020,24850,613,673165,19268,18.007,0.444,487.799,13.962
7/6/2020,24248,425,697413,19693,17.571,0.308,505.37,14.27
7/7/2020,22252,467,719665,20160,16.125,0.338,521.495,14.609
7/8/2020,22752,482,742417,20642,16.487,0.349,537.982,14.958
7/9/2020,24879,487,767296,21129,18.028,0.353,556.01,15.311
7/10/2020,26506,475,793802,21604,19.207,0.344,575.217,15.655
7/11/2020,27114,519,820916,22123,19.648,0.376,594.865,16.031
7/12/2020,28637,551,849553,22674,20.751,0.399,615.616,16.43
7/13/2020,28701,500,878254,23174,20.798,0.362,636.414,16.793
7/14/2020,28498,553,906752,23727,20.651,0.401,657.065,17.193
7/15/2020,29429,582,936181,24309,21.325,0.422,678.39,17.615
7/16/2020,32695,606,968876,24915,23.692,0.439,702.082,18.054
7/17/2020,34956,687,1003832,25602,25.33,0.498,727.412,18.552
7/18/2020,34884,671,1038716,26273,25.278,0.486,752.69,19.038
7/19/2020,38902,543,1077618,26816,28.19,0.393,780.88,19.432
7/20/2020,40425,681,1118043,27497,29.293,0.493,810.174,19.925
7/21/2020,37148,587,1155191,28084,26.919,0.425,837.092,20.351
7/22/2020,37724,648,1192915,28732,27.336,0.47,864.428,20.82
7/23/2020,45720,1129,1238635,29861,33.13,0.818,897.559,21.638
7/24/2020,49310,740,1287945,30601,35.732,0.536,933.291,22.175
7/25/2020,48916,757,1336861,31358,35.446,0.549,968.737,22.723
7/26/2020,48661,705,1385522,32063,35.261,0.511,1003.998,23.234
7/27/2020,49931,708,1435453,32771,36.182,0.513,1040.18,23.747
7/28/2020,47703,654,1483156,33425,34.567,0.474,1074.747,24.221
7/29/2020,48513,768,1531669,34193,35.154,0.557,1109.902,24.777
7/30/2020,52123,775,1583792,34968,37.77,0.562,1147.672,25.339
7/31/2020,55078,779,1638870,35747,39.911,0.564,1187.583,25.904
8/1/2020,57118,764,1695988,36511,41.39,0.554,1228.973,26.457
8/2/2020,54735,853,1750723,37364,39.663,0.618,1268.636,27.075
8/3/2020,52972,771,1803695,38135,38.385,0.559,1307.021,27.634
8/4/2020,52050,803,1855745,38938,37.717,0.582,1344.738,28.216
8/5/2020,52509,857,1908254,39795,38.05,0.621,1382.788,28.837
8/6/2020,1964536,56282,40699,904,1423.572,40.784,29.492,0.655
8/7/2020,2027074,62538,41585,886,1468.89,45.317,30.134,0.642
8/8/2020,2088611,61537,42518,933,1513.481,44.592,30.81,0.676
8/9/2020,2153010,64399,43379,861,1560.147,46.666,31.434,0.624
